번호,,,1st depth,2nd depth,3rd depth,4th depth,팝업,모바일지원,설명,비고
0.0,,,온보딩(최초 1회),,,,,O,"앱 최초 실행 시 1회 진행되는 진단·설정 플로우. 완료 후 홈(1.0)으로 진입.",P0 / 세그먼트 분기 시작
,0.1,,,목적·주제 입력,,,,O,"운영 목적·계정 주제 입력. 세그먼트 분기점(취미·브랜딩·포트폴리오→초보 / 매출·클래스 문의·예약→소상공인 모듈 ON).",O1
,0.2,,,계정 상태 입력,,,,O,"팔로워·운영기간·주당 업로드·주 사용 형식 입력(진단 입력값).",O2
,0.3,,,톤앤매너 설정,,,,O,"선호 톤·피할 스타일·브랜드 키워드·문체 예시·금지어·비주얼 가이드. 모든 생성화면(2.x)에 제약으로 상속.",O3 / 품질 근간
,0.4,,,진단 결과,,,,O,"운영 단계 진단 + 이번 달/주 목표 제시. [콘텐츠 만들러 가기].",O4
,0.5,,,운영 체크리스트,,,,O,"프로페셔널 전환·프로필·링크·하이라이트·고정·인사이트 세팅 안내. [완료] / [나중에].",O5
,,0.5.1,,,비즈니스 정보 입력,,,O,"업종·매장·예약 링크 1스텝 추가.",소상공인(C)만 노출◆
1.0,,,홈·대시보드,,,,,O,"탭1. 모든 행동의 시작 허브(hub-and-spoke). 온보딩 후 기본 진입. ""지금 할 한 가지""를 항상 제시.",P0 / ★기본 허브
,1.1,,,오늘의 코치,,,,O,"이번 주 할 일 + 진행 중 콘텐츠 허브. 빈 상태(온보딩 직후)는 목표 배너 + [첫 콘텐츠 만들기] 단일 CTA만.",H1
,,1.1.1,,,이번 주 목표 배너,,,O,"O4 진단의 주간 콘텐츠 목표(예: 릴스 2개 + 카드뉴스 1개) + 진척 표시.",
,,1.1.2,,,다음 할 한 가지(Primary),,,O,"상태별 1개만 강조: [이어서 수정] / [이번 주 주제 받기] / [성과 입력].",
,,1.1.3,,,진행 중 콘텐츠,,,O,"draft·edited 상태 카드 리스트 → 2.3 에디터로.",
,,1.1.4,,,성과 입력 대기,,,O,"exported인데 미측정 콘텐츠 → 3.1 성과 입력으로.",
,,1.1.5,,,마일스톤 트래커,,,O,"현재 팔로워 vs 다음 목표(100→500→1K). 작은 성취 강조.",
,,1.1.6,,,다음 액션 요약,,,O,"최근 성과 추천(3.2) 1~2개 재노출.",
2.0,,,콘텐츠,,,,,O,"탭2. 제작 파이프라인 2.1→2.2→2.3→2.4 한 방향 흐름. 중간 이탈 시 ""진행 중""으로 저장돼 홈에 재노출.",P0
,2.1,,,주제 추천,,,,O,"이번 주 추천 5개 카드. [이 주제로 초안] → 2.2. 소상공인은 시즌/이벤트 앵글 우선.",K1
,,2.1.1,,,주제 카드,,,O,"주제 한 줄·목적 태그(조회/저장/공유/방문/문의)·추천 포맷(릴스/카드뉴스/스토리)·후킹·필요 촬영 소스.",
,,2.1.2,,,다시 추천 / 직접 주제 입력,,,O,"보조 액션.",
,2.2,,,초안 생성 결과,,,,O,"제작 패키지 확인(읽기 전용). 포맷별 본문 + 캡션·해시태그·CTA. [수정하기] → 2.3.",K2 / 부분 스트리밍
,2.3,,,직접 수정 에디터,,,,O,"블록 단위 인라인 직접 수정(차별화 핵심). [최종 확인으로] → 2.4. status: edited.",K3
